uuid,settings,start,duration,packets,poi_critical_fraction,matches,avg_distance,bandwidth_per_sec,stego_bandwidth,comment
c1d09575-7707-4bc6-95c5-e2e1d6cd291c,"1 chars, trivial, mode: cs",1751137210.0011468,40295.89985752106,9340,0,12,778.3333333333334,0.002382376379220677,0.010278372591006424,
8a3759d6-ae00-41bb-936a-559800cf6e25,"1 chars, trivial, mode: cs",1751180410.3367755,41730.42415332794,10043,0,17,590.7647058823529,0.003259013124340702,0.013541770387334461,
47c054c7-8c74-42a9-8ab0-6f0abc365e88,"1 chars, trivial, mode: cs",1751223609.6076581,13400.561359405518,3218,0,4,804.5,0.0023879596639091545,0.009944064636420136,
0440079f-8bea-4a17-b8f1-e7edaca7625f,"1 chars, trivial, mode: cs",1751240090.2428818,23208.082141637802,5482,0,7,783.1428571428571,0.002412952507589154,0.010215249908792412,
52602d99-c270-49c6-bdc4-8e14e0931c1d,"1 chars, trivial, mode: cs",1751266810.3988216,41697.422139406204,9815,0,25,392.6,0.004796459582833293,0.020376974019358125,
53fd9b8e-0b72-4942-bf34-1330130c77a9,"1 chars, trivial, mode: cs",1751310009.7813632,43071.819506406784,11197,0,14,799.7857142857143,0.002600308073433963,0.010002679289095293,
1b61d508-3ec4-43bb-a8a6-9ac703cd62a5,"1 chars, trivial, mode: cs",1751353209.951464,42338.26954269409,15451,0,19,813.2105263157895,0.003590132559544564,0.009837550967574915,
35e903c1-df97-4304-b731-5874cbfc5720,"1 chars, trivial, mode: cs",1751396410.2408617,42560.116158008575,9764,0,14,697.4285714285714,0.002631571765081399,0.011470708725931995,
fa2fd4a0-b6c0-4e88-b583-7a5e0ba54f9c,"1 chars, trivial, mode: cs",1751439609.6207252,41476.28029894829,15461,0,18,858.9444444444445,0.0034718638933407776,0.009313757195524222,
f40d9e8f-4ddd-413f-9826-4681447ce50a,"1 chars, trivial, mode: cs",1751482809.9901302,38665.41487622261,12923,0,19,680.1578947368421,0.003931161749759804,0.011761974773659367,
83957e53-1e04-40f6-823b-d892698ecc42,"1 chars, trivial, mode: cs",1751526010.2623734,40807.618659973145,14108,0,28,503.85714285714283,0.0054891710752951696,0.01587751630280692,
3a21f9d7-8445-4268-adad-afa50de3a0d3,"1 chars, trivial, mode: cs",1751569210.5174382,35315.463572740555,7574,0,22,344.27272727272725,0.004983652547487769,0.023237391074729337,
12f50535-f446-49b5-b751-5901f44b2a5e,"1 chars, trivial, mode: cs",1751612409.9031737,40077.797733306885,9063,0,14,647.3571428571429,0.0027945647299607423,0.012357938872338077,
24c872c4-f073-41da-8355-7dd1343c4bcb,"1 chars, trivial, mode: cs",1751655610.235202,42731.26566648483,9163,0,13,704.8461538461538,0.0024338151088646484,0.011349994543271855,
bc4953ee-cf9b-45cd-9c57-55bbbcd28767,"1 chars, trivial, mode: cs",1751698809.753604,38355.563421964645,11064,0,17,650.8235294117648,0.003545769840578549,0.012292118582791034,
85054f9e-134b-455e-9824-432813a66a19,"1 chars, trivial, mode: cs",1751742010.122581,36236.58643126488,6823,0,16,426.4375,0.003532341553275056,0.018760076212809614,
2474ed15-88ce-4e69-a9ff-d254f04e4d6a,"1 chars, trivial, mode: cs",1751785209.6515005,40971.1014983654,14410,0,21,686.1904761904761,0.004100451143758061,0.011658570437196392,
c31b35c6-1dd8-4e7a-8809-0d1b60c5ec8a,"1 chars, trivial, mode: cs",1751828409.9833276,42412.873676776886,10772,0,9,1196.888888888889,0.0016975977753524282,0.006683995544002971,
32b3b0b9-ccb3-4ec9-968f-bbf8906e67a1,"1 chars, trivial, mode: cs",1751871610.403101,39883.073915958405,9688,0,20,484.4,0.004011726887881108,0.016515276630883566,
e696b5f1-b565-4550-a88f-9384e47c547c,"1 chars, trivial, mode: cs",1751914809.7625368,28630.782470226288,6014,0,14,429.57142857142856,0.003911873526910101,0.018623212504156966,
c2b0a34d-0c54-450e-9da3-fd40339a3627,"1 chars, trivial, mode: cs",1751950929.2640302,6733.016984462738,1986,0,3,662.0,0.0035645239059076995,0.012084592145015106,
5cf0aed8-f4fb-4597-9353-d1bbccd50d21,"1 chars, trivial, mode: cs",1751958009.895044,43045.65396475792,16286,0,21,775.5238095238095,0.0039028330278718486,0.010315608498096525,
986d8801-16a5-45b5-a457-446de9172899,"1 chars, trivial, mode: cs",1752001210.1602492,42520.27676320076,10701,0,16,668.8125,0.0030103284772308395,0.011961498925334081,
e409eec2-4d81-457d-8986-bf75f7e385f2,"1 chars, trivial, mode: cs",1752044410.051746,42365.11725068092,13682,0,24,570.0833333333334,0.004532030417003367,0.01403303610583248,
00fe3a61-8af7-47a6-ad0e-3b3dcc3f8e7d,"1 chars, trivial, mode: cs",1752087610.3112972,39724.30570888519,10716,0,19,564.0,0.003826372727919117,0.014184397163120567,
b43e1361-f3f9-4b94-9fb4-a5784dff9531,"1 chars, trivial, mode: cs",1752130809.991125,39352.941880464554,10838,0,14,774.1428571428571,0.0028460388130626298,0.01033400996493818,
f0e6e087-a7e2-4108-bf7f-5ec1d214de8b,"1 chars, trivial, mode: cs",1752174010.2269819,34835.66599225998,7713,0,12,642.75,0.0027557963158026007,0.012446518864255154,
90da9571-f13d-4857-a5ce-78085c3a8c3f,"1 chars, trivial, mode: cs",1752217210.5683868,41936.408595085144,16709,0,19,879.421052631579,0.0036245354595723315,0.009096893889520617,
5560963b-fdf9-4429-a7a6-45d2d78fe016,"1 chars, trivial, mode: cs",1752260409.8326066,37261.33239579201,8032,0,12,669.3333333333334,0.0025763974025481027,0.01195219123505976,
cf12891c-5475-4f11-b63b-c995bd5c6552,"1 chars, trivial, mode: cs",1752303609.6005845,708576.1004185677,111214,0,187,594.7272727272727,0.0021112764022329965,0.013451543870376031,
840200de-0ae1-4f2f-aaa1-50c5baaadf8d,"1 chars, trivial, mode: cs",1753019707.3494747,483187.3073847294,64667,0,134,482.589552238806,0.0022186013241991863,0.016577234137968362,
63e39ec5-2d03-4708-9440-e026ab481176,"1 chars, trivial, mode: cs",1753503906.8187113,105358.33829116821,17796,0,31,574.0645161290323,0.0023538715968984573,0.013935715891211509,
