filename,folder,score
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.666518502055784
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.666962995888432
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6686298477608623
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6679631070118902
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6668518724302701
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6684076008445383
2025-04-01T21-27-31.149645-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6679631070118902
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6688520946771863
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6700744527169685
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6675186131792421
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6698522058006445
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6685187243027003
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6696299588843204
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6688520946771863
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6685187243027003
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6671852428047561
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6668518724302701
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6675186131792421
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6698522058006445
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6672963662629181
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6656295143904878
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6682964773863762
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6695188354261585
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6655183909323258
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6655183909323258
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6681853539282143
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6663333333333333
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6645182798088676
2025-04-01T21-41-39.908917-SHPserver-broadcast_domain-ISD-8b-1r-0m-none_0s-none.pcapng,non-SHP,0.6660740082231359
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.6910767863095899
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.6901877986442938
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7341926880764529
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7523058117568618
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7296366262918101
2025-04-01T21-47-57.394779-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.6994110456717413
2025-04-01T22-58-23.251488-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7588620957884209
2025-04-01T22-58-23.251488-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7424158239804423
2025-04-01T22-58-23.251488-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7551950216690744
2025-04-01T22-58-23.251488-SHPserver-broadcast_domain-ISD-8b-1r-2m-none_0s-none.pcapng,non-SHP,0.7198577619735527
