bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,2,broadcast_domain,IPD,iphash,8,inline-hamming+,0,2.0,0.0,983.19
2,2,broadcast_domain,IPD,clockhash,2,none,0,2.0,0.0,832.39
2,2,broadcast_domain,IPD,clockhash,4,none,0,2.0,0.0,835.59
2,2,broadcast_domain,IPD,clockhash,8,none,0,2.0,0.0,883.67
2,2,broadcast_domain,IPD,clockhash,2,hamming,0,2.0,0.0,9095.36
2,2,broadcast_domain,IPD,clockhash,4,hamming,0,2.0,0.0,7566.28
2,2,broadcast_domain,IPD,clockhash,8,hamming,0,2.0,0.0,7566.28
2,2,broadcast_domain,IPD,clockhash,2,hamming+,0,2.0,0.0,2236.82
2,2,broadcast_domain,IPD,clockhash,4,hamming+,0,2.0,0.0,2057.03
2,2,broadcast_domain,IPD,clockhash,8,hamming+,0,2.0,0.0,1976.05
2,2,broadcast_domain,IPD,clockhash,2,inline-hamming+,0,2.0,0.0,849.18
2,2,broadcast_domain,IPD,clockhash,4,inline-hamming+,0,2.0,0.0,829.48
2,2,broadcast_domain,IPD,clockhash,8,inline-hamming+,0,2.0,0.0,824.5
2,2,broadcast_domain,ISD,none,0,none,0,2.0,0.0,840.7
2,2,broadcast_domain,ISD,none,0,hamming,0,2.0,0.0,7093.39
2,2,broadcast_domain,ISD,none,0,hamming+,0,2.0,0.0,2283.79
2,2,broadcast_domain,ISD,none,0,inline-hamming+,0,2.0,0.0,868.96
2,2,broadcast_domain,ICD,none,0,none,0,2.0,0.0,871.58
2,2,broadcast_domain,ICD,none,0,hamming,0,2.0,0.0,6815.58
2,2,broadcast_domain,ICD,none,0,hamming+,0,2.0,,
2,2,broadcast_domain,ICD,none,0,inline-hamming+,0,2.0,0.0,850.84
2,2,broadcast_domain,ISPN,none,0,none,0,2.0,0.0,523.54
2,2,broadcast_domain,ISPN,none,0,hamming,0,2.0,0.0,11060.88
2,2,broadcast_domain,ISPN,none,0,hamming+,0,2.0,0.0,1979.05
2,2,broadcast_domain,ISPN,none,0,inline-hamming+,0,2.0,0.0,629.46
2,2,broadcast_domain,timestamp,none,0,none,0,2.0,0.0,876.26
2,2,broadcast_domain,timestamp,none,0,hamming,0,2.0,0.0,6905.74
2,2,broadcast_domain,timestamp,none,0,hamming+,0,2.0,0.0,2012.62
2,2,broadcast_domain,timestamp,none,0,inline-hamming+,0,2.0,0.0,863.5
2,4,all,IPD,none,0,none,0,2.0,,
2,4,all,IPD,none,0,hamming,0,2.0,,
2,4,all,IPD,none,0,hamming+,0,2.0,,
2,4,all,IPD,none,0,inline-hamming+,0,2.0,,
2,4,all,IPD,baseipd,2,none,0,2.0,,
2,4,all,IPD,baseipd,4,none,0,2.0,,
2,4,all,IPD,baseipd,8,none,0,2.0,,
2,4,all,IPD,baseipd,2,hamming,0,2.0,,
2,4,all,IPD,baseipd,4,hamming,0,2.0,,
2,4,all,IPD,baseipd,8,hamming,0,2.0,,
2,4,all,IPD,baseipd,2,hamming+,0,2.0,,
2,4,all,IPD,baseipd,4,hamming+,0,2.0,,
2,4,all,IPD,baseipd,8,hamming+,0,2.0,,
2,4,all,IPD,baseipd,2,inline-hamming+,0,2.0,,
2,4,all,IPD,baseipd,4,inline-hamming+,0,2.0,,
2,4,all,IPD,baseipd,8,inline-hamming+,0,2.0,,
2,4,all,IPD,iphash,2,none,0,2.0,,
2,4,all,IPD,iphash,4,none,0,2.0,,
2,4,all,IPD,iphash,8,none,0,2.0,,
2,4,all,IPD,iphash,2,hamming,0,2.0,,
2,4,all,IPD,iphash,4,hamming,0,2.0,,
2,4,all,IPD,iphash,8,hamming,0,2.0,,
2,4,all,IPD,iphash,2,hamming+,0,2.0,,
2,4,all,IPD,iphash,4,hamming+,0,2.0,,
2,4,all,IPD,iphash,8,hamming+,0,2.0,,
2,4,all,IPD,iphash,2,inline-hamming+,0,2.0,,
2,4,all,IPD,iphash,4,inline-hamming+,0,2.0,,
2,4,all,IPD,iphash,8,inline-hamming+,0,2.0,,
2,4,all,IPD,clockhash,2,none,0,2.0,,
2,4,all,IPD,clockhash,4,none,0,2.0,,
2,4,all,IPD,clockhash,8,none,0,2.0,,
2,4,all,IPD,clockhash,2,hamming,0,2.0,,
2,4,all,IPD,clockhash,4,hamming,0,2.0,,
2,4,all,IPD,clockhash,8,hamming,0,2.0,,
2,4,all,IPD,clockhash,2,hamming+,0,2.0,,
2,4,all,IPD,clockhash,4,hamming+,0,2.0,,
2,4,all,IPD,clockhash,8,hamming+,0,2.0,,
2,4,all,IPD,clockhash,2,inline-hamming+,0,2.0,,
2,4,all,IPD,clockhash,4,inline-hamming+,0,2.0,,
2,4,all,IPD,clockhash,8,inline-hamming+,0,2.0,,
2,4,all,ISD,none,0,none,0,2.0,,
2,4,all,ISD,none,0,hamming,0,2.0,,
2,4,all,ISD,none,0,hamming+,0,2.0,,
2,4,all,ISD,none,0,inline-hamming+,0,2.0,,
2,4,all,ICD,none,0,none,0,2.0,,
2,4,all,ICD,none,0,hamming,0,2.0,,
2,4,all,ICD,none,0,hamming+,0,2.0,,
2,4,all,ICD,none,0,inline-hamming+,0,2.0,,
2,4,all,ISPN,none,0,none,0,2.0,,
2,4,all,ISPN,none,0,hamming,0,2.0,,
2,4,all,ISPN,none,0,hamming+,0,2.0,,
2,4,all,ISPN,none,0,inline-hamming+,0,2.0,,
2,4,all,timestamp,none,0,none,0,2.0,,
2,4,all,timestamp,none,0,hamming,0,2.0,,
2,4,all,timestamp,none,0,hamming+,0,2.0,,
2,4,all,timestamp,none,0,inline-hamming+,0,2.0,,
2,4,broadcast_domain,IPD,none,0,none,0,2.0,0.0,809.42
2,4,broadcast_domain,IPD,none,0,hamming,0,2.0,0.0,6171.08
2,4,broadcast_domain,IPD,none,0,hamming+,0,2.0,0.0,1973.07
2,4,broadcast_domain,IPD,none,0,inline-hamming+,0,2.0,0.0,836.12
2,4,broadcast_domain,IPD,baseipd,2,none,0,2.0,0.0,817.78
2,4,broadcast_domain,IPD,baseipd,4,none,0,2.0,0.0,775.28
2,4,broadcast_domain,IPD,baseipd,8,none,0,2.0,0.0,830.8
2,4,broadcast_domain,IPD,baseipd,2,hamming,0,2.0,0.0,5866.0
2,4,broadcast_domain,IPD,baseipd,4,hamming,0,2.0,0.0,5946.17
2,4,broadcast_domain,IPD,baseipd,8,hamming,0,2.0,0.0,5737.07
2,4,broadcast_domain,IPD,baseipd,2,hamming+,0,2.0,0.0,1766.15
2,4,broadcast_domain,IPD,baseipd,4,hamming+,0,2.0,0.0,1753.1
2,4,broadcast_domain,IPD,baseipd,8,hamming+,0,2.0,0.0,1839.58
2,4,broadcast_domain,IPD,baseipd,2,inline-hamming+,0,2.0,0.0,828.43
2,4,broadcast_domain,IPD,baseipd,4,inline-hamming+,0,2.0,0.0,781.31
2,4,broadcast_domain,IPD,baseipd,8,inline-hamming+,0,2.0,0.0,810.93
2,4,broadcast_domain,IPD,iphash,2,none,0,2.0,0.0,813.96
2,4,broadcast_domain,IPD,iphash,4,none,0,2.0,0.0,793.67
2,4,broadcast_domain,IPD,iphash,8,none,0,2.0,0.0,818.04
2,4,broadcast_domain,IPD,iphash,2,hamming,0,2.0,0.0,6525.92
2,4,broadcast_domain,IPD,iphash,4,hamming,0,2.0,0.0,6525.92
2,4,broadcast_domain,IPD,iphash,8,hamming,0,2.0,0.0,5905.81
2,4,broadcast_domain,IPD,iphash,2,hamming+,0,2.0,0.0,1910.96
2,4,broadcast_domain,IPD,iphash,4,hamming+,0,2.0,0.0,1910.96
2,4,broadcast_domain,IPD,iphash,8,hamming+,0,2.0,0.0,1910.96
2,4,broadcast_domain,IPD,iphash,2,inline-hamming+,0,2.0,0.0,826.85
2,4,broadcast_domain,IPD,iphash,4,inline-hamming+,0,2.0,0.0,826.85
2,4,broadcast_domain,IPD,iphash,8,inline-hamming+,0,2.0,0.0,831.33
2,4,broadcast_domain,IPD,clockhash,2,none,0,2.0,0.0,793.67
2,4,broadcast_domain,IPD,clockhash,4,none,0,2.0,0.0,769.11
2,4,broadcast_domain,IPD,clockhash,8,none,0,2.0,0.0,779.91
2,4,broadcast_domain,IPD,clockhash,2,hamming,0,2.0,0.0,5625.79
2,4,broadcast_domain,IPD,clockhash,4,hamming,0,2.0,0.0,5905.81
2,4,broadcast_domain,IPD,clockhash,8,hamming,0,2.0,0.0,5839.75
2,4,broadcast_domain,IPD,clockhash,2,hamming+,0,2.0,0.0,1699.46
2,4,broadcast_domain,IPD,clockhash,4,hamming+,0,2.0,0.0,1746.07
2,4,broadcast_domain,IPD,clockhash,8,hamming+,0,2.0,0.0,1759.01
2,4,broadcast_domain,IPD,clockhash,2,inline-hamming+,0,2.0,0.0,800.48
2,4,broadcast_domain,IPD,clockhash,4,inline-hamming+,0,2.0,0.0,786.26
2,4,broadcast_domain,IPD,clockhash,8,inline-hamming+,0,2.0,0.0,761.48
2,4,broadcast_domain,ISD,none,0,none,0,2.0,0.0,769.34
2,4,broadcast_domain,ISD,none,0,hamming,0,2.0,0.0,5787.96
2,4,broadcast_domain,ISD,none,0,hamming+,0,2.0,0.0,1717.35
2,4,broadcast_domain,ISD,none,0,inline-hamming+,0,2.0,0.0,777.36
2,4,broadcast_domain,ICD,none,0,none,0,2.0,0.0,763.94
2,4,broadcast_domain,ICD,none,0,hamming,0,2.0,0.0,5973.38
2,4,broadcast_domain,ICD,none,0,hamming+,0,2.0,0.0,1784.26
2,4,broadcast_domain,ICD,none,0,inline-hamming+,0,2.0,0.0,763.04
2,4,broadcast_domain,ISPN,none,0,none,0,2.0,0.0,523.54
2,4,broadcast_domain,ISPN,none,0,hamming,0,2.0,0.0,11060.88
2,4,broadcast_domain,ISPN,none,0,hamming+,0,2.0,0.0,1979.05
2,4,broadcast_domain,ISPN,none,0,inline-hamming+,0,2.0,0.0,629.46
2,4,broadcast_domain,timestamp,none,0,none,0,2.0,0.0,770.25
2,4,broadcast_domain,timestamp,none,0,hamming,0,2.0,0.0,5892.48
2,4,broadcast_domain,timestamp,none,0,hamming+,0,2.0,0.0,1652.13
2,4,broadcast_domain,timestamp,none,0,inline-hamming+,0,2.0,0.0,765.73
